FIELD_NAME,SOURCE,RA,DEC,RADIUS,FLUX
RACS_1309-41,CenA,201.366666666667,-43.0111111111111,6.6,0
RACS_1336-41,CenA,201.366666666667,-43.0111111111111,6.6,0
RACS_1315-46,CenA,201.366666666667,-43.0111111111111,6.6,0
RACS_1345-46,CenA,201.366666666667,-43.0111111111111,6.6,0
RACS_0519+23,Crab,83.6291666666667,22.0163888888889,4.2,100
RACS_0542+23,Crab,83.6291666666667,22.0163888888889,4.2,100
RACS_0526+18,Crab,83.6291666666667,22.0163888888889,4.2,100
RACS_0548+18,Crab,83.6291666666667,22.0163888888889,4.2,100
RACS_2004+41,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_1936+41,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_1938+37,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_2004+37,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_2030+37,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_1944+46,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_2014+46,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_1650+04,HerA,252.783333333333,4.9925,2.34,0
RACS_0918-09,HydA,139.520833333333,-12.095,1.2,0
RACS_0916-14,HydA,139.520833333333,-12.095,1.2,0
RACS_0522-04,OriA,83.825,-5.38638888888889,7.11,1
RACS_0543-04,OriA,83.825,-5.38638888888889,7.11,1
RACS_0543+00,OriA,83.825,-5.38638888888889,7.11,1
RACS_0543-09,OriA,83.825,-5.38638888888889,7.11,1
RACS_0522-09,OriA,83.825,-5.38638888888889,7.11,1
RACS_0522-04,OriB,85.4208333333333,-1.89944444444444,4.95,0
RACS_0543-04,OriB,85.4208333333333,-1.89944444444444,4.95,0
RACS_0543+00,OriB,85.4208333333333,-1.89944444444444,4.95,0
RACS_0543-09,OriB,85.4208333333333,-1.89944444444444,4.95,0
RACS_0522-09,OriB,85.4208333333333,-1.89944444444444,4.95,0
RACS_0514-46,PicA,79.95,-45.7647222222222,6.3,0
RACS_0518-41,PicA,79.95,-45.7647222222222,6.3,0
RACS_1232+14,VirA,187.704166666667,12.3911111111111,10.2,100
RACS_1232+09,VirA,187.704166666667,12.3911111111111,10.2,100
RACS_0352-64,PKSB0407-658,62.0833333333333,-65.7525,0.36,0
RACS_0409-69,PKSB0407-658,62.0833333333333,-65.7525,0.36,0
RACS_0438-64,PKSB0407-658,62.0833333333333,-65.7525,0.36,0
RACS_0406-60,PKSB0407-658,62.0833333333333,-65.7525,0.36,0
RACS_0425-72,PKSB0409-752,62.2,-75.1219444444444,0.78,0
RACS_0347-77,PKSB0409-752,62.2,-75.1219444444444,0.78,0
RACS_0731+00,PKSB0723-008,111.458333333333,-0.915277777777778,0.36,0
RACS_1944-46,PKSB1932-464,293.983333333333,-46.3441666666667,0.63,0
RACS_1914-46,PKSB1932-464,293.983333333333,-46.3441666666667,0.63,0
RACS_2007-64,PKSB1934-638,294.854166666667,-63.7125,0.78,0
RACS_1921-64,PKSB1934-638,294.854166666667,-63.7125,0.78,0
RACS_1953-60,PKSB1934-638,294.854166666667,-63.7125,0.78,0
RACS_2141-69,PKSB2152-699,329.279166666667,-69.6875,1.38,0
RACS_2146-70,PKSB2152-699,329.279166666667,-69.6875,1.38,0
RACS_0000-60,PKSB2356-611,359.758333333333,-60.9144444444444,4.5,0
RACS_0151+32,3C48,24.4208333333333,33.1594444444444,0.6,0
RACS_0126+32,3C48,24.4208333333333,33.1594444444444,0.6,0
RACS_0259+41,3C84,49.95,41.5116666666667,1.44,0
RACS_0327+41,3C84,49.95,41.5116666666667,1.44,0
RACS_0421+37,3C111,64.5875,38.0311111111111,2.82,0
RACS_0423+41,3C119,68.15,41.6405555555556,1.02,0
RACS_0450+41,3C119,68.15,41.6405555555556,1.02,0
RACS_0420+32,3C123,69.2666666666667,29.6708333333333,0.78,24
RACS_0445+32,3C123,69.2666666666667,29.6708333333333,0.78,24
RACS_0436+28,3C123,69.2666666666667,29.6708333333333,0.78,24
RACS_0544+46,3C147,299.866666666667,40.7338888888889,0.9,0
RACS_0814+46,3C196,123.4,48.2166666666667,1.38,0
RACS_1232+04,3C273,187.2762016,2.0504428,1,0
RACS_1232+00,3C273,187.2762016,2.0504428,1,0
RACS_1419+04,3C298,214.784085,6.476335,0.66,0
RACS_1419+09,3C298,214.784085,6.476335,0.66,0
RACS_1650+41,3C345,250.741666666667,39.8088888888889,1.02,0
RACS_1814+46,3C380,277.379166666667,48.7461111111111,1.02,13
RACS_2011+23,3C409,303.6125,23.5813888888889,0.62,0
RACS_2124+28,3C433,320.933333333333,25.0705555555556,1.32,0
RACS_2119+23,3C433,320.933333333333,25.0705555555556,1.32,0
RACS_2212-04,3C446,336.445833333333,-4.95027777777778,0.36,0
RACS_2234-04,3C446,336.445833333333,-4.95027777777778,0.36,0
RACS_2305+14,3C454,343.4875,16.1480555555556,0.9,15
RACS_2243+14,3C454,343.4875,16.1480555555556,0.9,15
RACS_2241+18,3C454,343.4875,16.1480555555556,0.9,15
RACS_2303+18,3C454,343.4875,16.1480555555556,0.9,15
RACS_1319+23,3C287,202.657044,25.153021,0.8,9.4
RACS_1342+23,3C287,202.657044,25.153021,0.8,9.4
RACS_1324+28,3C287,202.657044,25.153021,0.8,9.4
RACS_0131+23,3C43,22.498944,23.638974,1,4.2
RACS_1748-64,PKS1814-637,274.895428,-63.763609,0.8,2
RACS_1834-64,PKS1814-637,274.895428,-63.763609,0.8,2
RACS_1749-60,PKS1814-637,274.895428,-63.763609,0.8,2
RACS_1830-60,PKS1814-637,274.895428,-63.763609,0.8,2
RACS_0626-09,3C161,96.791077,-5.885664,0.8,2.6
RACS_0626-04,3C161,96.791077,-5.885664,0.8,2.6
RACS_1326+32,3C286,202.7854634,30.5106807,0.65,10
RACS_1324+28,3C286,202.7854634,30.5106807,0.65,10
RACS_2359+00,PKS0003-00,1.594117,-0.073526,0.65,6.7
RACS_2234+09,4C11.69,338.151704,11.730807,0.65,6.7
RACS_2221+14,4C11.69,338.151704,11.730807,0.65,6.7
RACS_2243+14,4C11.69,338.151704,11.730807,0.65,6.7
RACS_2149+37,3C438,328.967876,38.008227,0.65,3.3
RACS_0914+46,3C219,140.285931,45.649275,3.7,8.3
RACS_1245+46,3C280,194.237508,47.338852,0.8,5.5
RACS_1315+46,3C280,194.237508,47.338852,0.8,5.5
RACS_1555+32,B21611+34,243.421101,34.213308,0.8,5.1
RACS_1620+32,B21611+34,243.421101,34.213308,0.8,5.1
RACS_1608+37,B21611+34,243.421101,34.213308,0.8,5.1
RACS_1841+41,3C388,281.0113166,45.5575905,2,5.5
RACS_1844+46,3C388,281.0113166,45.5575905,2,5.5
RACS_2030-37,PKS2032-35,308.949417,-34.902564,0.6,6
RACS_2028-32,PKS2032-35,308.949417,-34.902564,0.6,6
RACS_2156-18,PKS2203-18,331.543404,-18.594096,0.7,6.2
RACS_2218-18,PKS2203-18,331.543404,-18.594096,0.7,6.2
RACS_0012-28,PKS0023-26,6.454817,-26.036838,0.6,8.2
RACS_0036-28,PKS0023-26,6.454817,-26.036838,0.6,8.2
RACS_0022-23,PKS0023-26,6.454817,-26.036838,0.6,8.2
RACS_0042+00,3C17,9.5848918,-2.1285155,1.5,1.6
RACS_0042-04,3C17,9.5848918,-2.1285155,1.5,1.6
RACS_0104-04,3C29,14.3976518,-1.4009194,4,5.6
RACS_0104+00,3C29,14.3976518,-1.4009194,4,5.6
RACS_0116+14,3C33,17.2207931,13.3357401,4.6,5.3
RACS_0054+14,3C33,17.2207931,13.3357401,4.6,5.3
RACS_0104+09,3C33,17.2207931,13.3357401,4.6,5.3
RACS_0230+00,M77,40.6695012,-0.0132956,1.5,3
RACS_0251+00,M77,40.6695012,-0.0132956,1.5,3
RACS_0313+04,3C78,47.1103189,4.1107206,4,1.2
RACS_0305+14,PKS0316+16,49.740844,16.475749,0.8,2.3
RACS_0327+14,PKS0316+16,49.740844,16.475749,0.8,2.3
RACS_0311+18,PKS0316+16,49.740844,16.475749,0.8,2.3
RACS_0333+18,PKS0316+16,49.740844,16.475749,0.8,2.3
RACS_0356+09,3C98,59.7240054,10.4298263,6.5,2
RACS_0516+14,3C138,80.291192,16.639459,0.65,8
RACS_0526+18,3C138,80.291192,16.639459,0.65,8
RACS_0526+18,PKS0531+19,83.685448,19.455981,0.65,6
RACS_0548+18,PKS0531+19,83.685448,19.455981,0.65,6
RACS_0457+23,3C133,75.74368,25.273642,0.65,3.3
RACS_0500+28,3C133,75.74368,25.273642,0.65,3.3
RACS_0356+04,3C105,61.8314796,3.7015556,5.8,2.5
RACS_0417+04,3C105,61.8314796,3.7015556,5.8,2.5
RACS_0500-04,PKS0458-02,75.303374,-1.987293,0.65,1
RACS_0500+00,PKS0458-02,75.303374,-1.987293,0.65,1
RACS_0626+09,4C+10.20,98.063762,10.367265,0.65,1
RACS_1146-37,PKS1151-34,178.59078,-35.09141,0.65,5.9
RACS_1147-32,PKS1151-34,178.59078,-35.09141,0.65,5.9
RACS_1443-14,PKS1453-10,223.97864,-11.145231,0.65,2.8
RACS_1505-14,PKS1453-10,223.97864,-11.145231,0.65,2.8
RACS_1441-09,PKS1453-10,223.97864,-11.145231,0.65,2.8
RACS_1502-09,PKS1453-10,223.97864,-11.145231,0.65,2.8
RACS_1502-09,PKS1510-08,228.210554,-9.099952,0.65,2.5
RACS_1524-09,PKS1510-08,228.210554,-9.099952,0.65,2.5
RACS_1502-04,PKS1508-05,227.723298,-5.718727,0.65,2.9
RACS_1527-14,PKS1524-13,231.74767,-13.850045,0.65,2.6
RACS_1738-14,PKS1730-13,263.261274,-13.08043,0.65,5.3
RACS_1839-23,PKS1830-211,278.416201,-21.061048,0.65,10
RACS_1833-18,PKS1830-211,278.416201,-21.061048,0.65,10
RACS_1902-23,PKS1859-23,285.705349,-23.497581,0.65,3
RACS_1924-28,PKSJ1924-2914,291.212733,-29.2417,0.65,4
RACS_2314-46,PKSJ2329-4730,352.323768,-47.50531,0.65,2.9
RACS_2344-46,PKSJ2329-4730,352.323768,-47.50531,0.65,2.9
RACS_2318-41,PKS2331-41,353.609126,-41.423411,0.65,2.5
RACS_2346-41,PKS2331-41,353.609126,-41.423411,0.65,2.5
RACS_2318-41,PKS2323-40,351.642208,-40.45417,0.65,2.9
RACS_0044-46,PKS0039-44,10.537417,-44.23348,0.65,2.5
RACS_0041-41,PKS0039-44,10.537417,-44.23348,0.65,2.5
RACS_0041-41,PKS0043-42,11.5733497,-42.1321601,2.6,2.2
RACS_0352-64,PKS0420-62,65.233575,-62.394351,0.65,3.2
RACS_0438-64,PKS0420-62,65.233575,-62.394351,0.65,3.2
RACS_0406-60,PKS0420-62,65.233575,-62.394351,0.65,3.2
RACS_0633-73,PKS0637-75,98.943783,-75.271337,0.65,4.2
RACS_0941-75,PKS0842-75,130.362645,-75.674409,0.65,3.1
RACS_0812-77,PKS0842-75,130.362645,-75.674409,0.65,3.1
